词汇,词频,次数
浪漫,0.011037920598184084,62
温柔,0.007121239095602635,40
忠烈,0.005340929321701976,30
厉害,0.005340929321701976,30
美好,0.0048068363895317785,27
伟大,0.004628805412141713,26
幸福,0.0030265266156311197,17
漂亮,0.0030265266156311197,17
年轻,0.002492433683460922,14
贫困,0.0021363717286807904,12
最好,0.0017803097739006587,10
惭愧,0.0017803097739006587,10
辛苦,0.0017803097739006587,10
骄傲,0.0017803097739006587,10
太美,0.0016022787965105929,9
著名,0.0016022787965105929,9
热爱,0.001246216841730461,7
好好看,0.001246216841730461,7
尴尬,0.001246216841730461,7
重要,0.0010681858643403952,6
心疼,0.0008901548869503294,5
优秀,0.0008901548869503294,5
成功,0.0008901548869503294,5
激动,0.0008901548869503294,5
亲切,0.0008901548869503294,5
平凡,0.0007121239095602635,4
舒服,0.0007121239095602635,4
真诚,0.0007121239095602635,4
快乐,0.0007121239095602635,4
优雅,0.0007121239095602635,4
有趣,0.0007121239095602635,4
真好,0.0007121239095602635,4
最美,0.0007121239095602635,4
不错,0.0007121239095602635,4
矍铄,0.0007121239095602635,4
清晰,0.0007121239095602635,4
幽默,0.0007121239095602635,4
很棒,0.0005340929321701976,3
重新,0.0005340929321701976,3
正好,0.0005340929321701976,3
善良,0.0005340929321701976,3
一般,0.0005340929321701976,3
谦逊,0.0005340929321701976,3
充满,0.0005340929321701976,3
乐观,0.0005340929321701976,3
清楚,0.0005340929321701976,3
合适,0.0005340929321701976,3
良心,0.0005340929321701976,3
清醒,0.0005340929321701976,3
悲伤,0.0005340929321701976,3
尊重,0.0005340929321701976,3
笨笨,0.0005340929321701976,3
有幸,0.00035606195478013177,2
纯粹,0.00035606195478013177,2
深厚,0.00035606195478013177,2
敏捷,0.00035606195478013177,2
下自成蹊,0.00035606195478013177,2
庸常,0.00035606195478013177,2
不愧,0.00035606195478013177,2
很大,0.00035606195478013177,2
完美,0.00035606195478013177,2
充沛,0.00035606195478013177,2
安好,0.00035606195478013177,2
不足,0.00035606195478013177,2
容易,0.00035606195478013177,2
好奇,0.00035606195478013177,2
不同,0.00035606195478013177,2
眼熟,0.00035606195478013177,2
贫穷,0.00035606195478013177,2
激昂,0.00035606195478013177,2
不易,0.00035606195478013177,2
简单,0.00035606195478013177,2
亲美,0.00035606195478013177,2
干净,0.00035606195478013177,2
清单,0.00035606195478013177,2
自私,0.00035606195478013177,2
最高,0.00017803097739006588,1
稳重,0.00017803097739006588,1
高大,0.00017803097739006588,1
深沉,0.00017803097739006588,1
深远,0.00017803097739006588,1
浓重,0.00017803097739006588,1
稀缺,0.00017803097739006588,1
卑微,0.00017803097739006588,1
恍惚,0.00017803097739006588,1
雅致,0.00017803097739006588,1
渺小,0.00017803097739006588,1
清新,0.00017803097739006588,1
娇气,0.00017803097739006588,1
深爱,0.00017803097739006588,1
苍老,0.00017803097739006588,1
惊艳,0.00017803097739006588,1
极广,0.00017803097739006588,1
不满,0.00017803097739006588,1
最爱,0.00017803097739006588,1
很美,0.00017803097739006588,1
乐趣,0.00017803097739006588,1
很甜,0.00017803097739006588,1
不朽,0.00017803097739006588,1
爱朗,0.00017803097739006588,1
不美,0.00017803097739006588,1
平衡,0.00017803097739006588,1
一挤,0.00017803097739006588,1
淳朴,0.00017803097739006588,1
充当,0.00017803097739006588,1
神似,0.00017803097739006588,1
恭喜,0.00017803097739006588,1
疯狂,0.00017803097739006588,1
浓厚,0.00017803097739006588,1
很火,0.00017803097739006588,1
不幸,0.00017803097739006588,1
无憾,0.00017803097739006588,1
连续,0.00017803097739006588,1
好酷,0.00017803097739006588,1
俏皮,0.00017803097739006588,1
被宠,0.00017803097739006588,1
惬意,0.00017803097739006588,1
有朗,0.00017803097739006588,1
郑重,0.00017803097739006588,1
准确,0.00017803097739006588,1
勇敢,0.00017803097739006588,1
真瘦,0.00017803097739006588,1
恒洁,0.00017803097739006588,1
真挚,0.00017803097739006588,1
澄澈,0.00017803097739006588,1
睿哲,0.00017803097739006588,1
伤害,0.00017803097739006588,1
狂喜,0.00017803097739006588,1
宽容,0.00017803097739006588,1
美腻,0.00017803097739006588,1
方便,0.00017803097739006588,1
浮躁,0.00017803097739006588,1
短浅,0.00017803097739006588,1
浓烈,0.00017803097739006588,1
舒适,0.00017803097739006588,1
复兴,0.00017803097739006588,1
艰巨,0.00017803097739006588,1
自由,0.00017803097739006588,1
最难,0.00017803097739006588,1
重利,0.00017803097739006588,1
纯净,0.00017803097739006588,1
凉凉,0.00017803097739006588,1
倒霉,0.00017803097739006588,1
珍惜,0.00017803097739006588,1
娇羞,0.00017803097739006588,1
和谐,0.00017803097739006588,1
幸运,0.00017803097739006588,1
纯朴,0.00017803097739006588,1
清白,0.00017803097739006588,1
虚伪,0.00017803097739006588,1
频繁,0.00017803097739006588,1
滑稽,0.00017803097739006588,1
不倦,0.00017803097739006588,1
急急,0.00017803097739006588,1
得体,0.00017803097739006588,1
稀少,0.00017803097739006588,1
